Username,Handle,Timestamp,Text,Replys,Retweets,Likes
Valdeci Britto,@Valdecibrittoo,2018-09-28T17:50:07.000Z,#ROUANET NÃO Aproveitem bastante á mamata vai acabar á teta vai acabar á desigualdade vai acabar o olho grande vai acabar DEUS não dorme ele é Fiel!!! https://instagram.com/p/BoQaX0HAu6L/?utm_source=ig_twitter_share&igshid=yslfml94sect…,,,
PC,@borgespc,2018-09-28T17:45:12.000Z,"Certeza que ela mama na lei #Rouanet hahahahaha #elenao
Twitter Moments Brasil
@MomentsBrasil
 · 28 de set de 2018
Madonna adere à campanha contra Bolsonaro - https://twitter.com/i/moments/1045682269057372160…",,,
Esthetic & Hair,@EstheticeHair,2018-09-28T16:17:01.000Z,#ChupaArtistas atrás da Lei #Rouanet Vão lavar louça. Seus dias estão contados. Vai ter que fazer faxina pra ganhar dinheiro https://facebook.com/100000268907912/posts/2119487938070149/…,,,
Brida,@msantiago_lima,2018-09-27T09:58:02.000Z,#EleNao vai liberar #rouanet pra mim. #RouanetNão #rounetnao #eleSim #Bolsonaro17EleitoNo1ºturno,,,
Paulo Eduardo Castro Tamayossi,@PauloTamayossi,2018-09-27T06:22:53.000Z,"Vai ser no 1° turno sim. 
@jairbolsonaro
 apenas peço uma coisa, melhor essa lei #Rouanet para cortar essa vida boa dos supostos atores. #RouanetNão",,,
Fred C.,@fredmav75,2018-09-26T23:25:01.000Z,"Mais de 1 milhão de deslikes!!!! Passa vergonha não.... e comece a trabalhar DIREITO porque a mamata #rouanet vai acabar.... 
@roxmo
 @danielamercury
 @bacalhas
 @BolsonaroSP
 @FlavioBolsonaro
 @CarlosBolsonaro
 @jairbolsonaro
 quanto mais tentam... mais votos vem! #danielamercury
1",,,1
GSC,@GSC02396232,2018-09-26T22:57:05.000Z,"Em resposta a 
@CriptoGamesBR
 @renovamidia
 e 
@lelekachikila
Mas é claro que é 
#EleSimENo1Turno 
#ROUANET NÃO
1
1",,1,1
GSC,@GSC02396232,2018-09-26T22:28:55.000Z,"Em resposta a 
@Wr_Malmei
 e 
@yellowlucia
#ROUANET NÃO 
XÔ  LIXO IMUNDO .",,,
Robson de oliveira,@RobsonGlll,2018-09-26T22:10:22.000Z,#Rouanet Nao,,,
B3RN4RD SCCP,@Bernard_mp4,2018-09-26T22:10:11.000Z,"Ator que não mama da #rouanet tem meu respeito... 
2",,,2
Nelson Loia (Bra$il),@N_Loia,2018-09-26T13:27:00.000Z,"@danielamercury
 @Anitta
 @LSabatella
 

#Rouanet só para artistas em início de carreira.

E chega de esbanjar o NOSSO dinheiro para fora do pais.

#AcordaBrasil 
#RouanetNão
#17paraOBemdoBrasil",,,
Valdo Reginaldo SDV,@Valdeberto29fr,2018-09-26T12:54:15.000Z,"Em resposta a 
@rcalucena
#Rouanet 17071 deputado estadual SP
1",,,1
Rafael Alcemar,@rafaelalcemar,2018-09-26T10:43:27.000Z,"#EleSim prefiro olhar pra Silvio Santos e os empresários decentes do país que apoiam 
@jairbolsonaro
 do que dar ouvidos a esses modinhas #Rouanet. Sai fora! Chega dessa maldita mamata com o dinheiro público! #BolsonaroPresidente17 ",,,
ChocolateRosa,@chocolaterosa25,2018-09-26T09:24:51.000Z,"Pra quem aí não entendeu porque tantos artistas estão contra bolsonaro e pq existe no momento a #lei #Rouanet .1. O MINISTÉRIO DA CULTURA DÁ DINHEIRO DE INCENTIVO FISCAL PARA OS ARTISTAS.
O MINC aprova projetos... https://facebook.com/100002675499864/posts/1715803971852103/…",,,
paulo martins,@pc_martins44,2018-09-26T09:05:48.000Z,"Lei do #Rouanet que o governo da esquerda oferece para os ""Artistas"" Brasileiros. Uma vergonha!  E ainda sai do nosso bolso por isso eles estão desesperados e dizendo que se Bolsonaro  ganhar as eleições acabam com a  nossa democracia. Vai acabar é com a bagunça!",,,
Hugo Almeida,@hphugopersonal,2018-09-26T08:41:36.000Z,"Gostei de um vídeo 
@YouTube
 http://youtu.be/Rxra9-fmLZk?aArtistas… da lei #Rouanet com medo do FIM DA MAMATA",,,
Mariza,@Mariza_Nascimen,2018-09-26T04:29:58.000Z,Fui desfiada para dizer Devolva o dinheiro do #Rouanet,,,
JL Tavares l Fotógrafo Profissional,@JL_Tavares,2018-09-26T03:59:52.000Z,"Povo da #Rouanet fazendo campanha no #PremioMultishow
1",,,1
Bruno Tavares,@bthiagotavares,2018-09-26T03:01:15.000Z,Mamadoras da Lei #Rouanet https://facebook.com/100002092322836/posts/1914816645264728/…,,,
Valdiney Medeiros,@Valdine90111074,2018-09-25T18:29:07.000Z,#ROUANET NÃO,,,
PORTO,@PORT0_89,2018-09-25T18:26:51.000Z,"A forma de governança da Venezuela é a menina dos olhos do PT:  Pobres e miseráveis devem PERMANECER sempre assim. Pois é mais fácil de controlar dando  Pão, água e Circo ( No Brasil: Pão e água = Bolsa família,  Circo = uns espetáculos em praça pública com a lei #Rouanet )
PORTO
@PORT0_89
 · 24 de jul de 2017
Em resposta a @PORT0_89 @ptbrasil e @PCdoB_Oficial
É esse tipo de Criminoso que @dilmabr e @LulapeloBrasil  estão sempre apoiando.
1
2
1",1,2,1
José Paixão,@JosPaixo11,2018-09-25T18:16:26.000Z,#Rouanet não,,,
INCENDEIA PARÁ,@INCENDEIAPARA,2018-09-25T18:08:08.000Z,#ROUANET-NÃO,,,
